,id,prod_id,prod_name,areabrand_name,prod_detail,cid,first_cat,agri_firstcat,sepcial_name,Geodict,NotGeodict,final_Prod,final_label
149,150,540000000000.0,广西三角泡倒地铃干品现采直发500克 中药材 中药材 中草药,广西中药材,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""广西壮族自治区""},{""品牌"":""九志""},{""系列"":""v""},{""规格"":""cc""},{""净含量"":""500g""}]}]}",1990101,食品保健,草药,,,,,0
150,151,556000000000.0,乌江榨菜 涪陵榨菜 中国好味道 开胃下饭小菜 鲜脆菜丝 10袋包邮,重庆榨菜,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年07月12日 至 2018年07月13日""},{""生产许可证编号"":""SC11650010209595""},{""厂名"":""重庆市涪陵榨菜集团股份有限公司""},{""厂址"":""重庆市涪陵区珍溪镇方家三社,重庆市涪陵区李渡镇红庙三社,重庆市涪陵区蔺市镇桃园村四社,重庆市涪陵区江北办事处二渡村一组13、16栋,重庆市涪陵区南沱镇夏家村8社,重庆市涪陵区石沱镇团结社区居民委员会第一小组""},{""厂家联系方式"":""023-72222635""},{""配料表"":""榨菜 食用盐""},{""保质期"":""480""},{""食品添加剂"":""谷氨酸钠""},{""净含量"":""88g""},{""包装方式"":""包装""},{""产地"":""中国大陆""},{""省份"":""重庆""}]}]}",1080202002,食品保健,,,{'涪陵榨菜': '涪陵'},,涪陵榨菜,2
151,152,540000000000.0,大连小平岛100g海胆肉鲜活海胆刺身水盒即食海鲜水产包邮赠木盒,大连海胆,"{""groupProps"":[{""基本信息"":[{""净含量"":""100g""},{""同城服务"":""同城24小时卖家送货上门""},{""品牌"":""小平岛""},{""食品工艺"":""鲜活水产""},{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""辽宁省""},{""城市"":""大连市""}]}]}",1080201001,食品保健,水产,,,,,0
152,153,12208193891.0,湖南郴州特产三国 子龙郡(坛子鱼、五花肉) 500克*2 礼盒装包邮,郴州鱼,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年02月03日 至 2018年02月13日""},{""生产许可证编号"":""QS431009011492""},{""产品标准号"":""Q/PVDQ001—2004""},{""厂名"":""桂阳子龙郡食品有限公司""},{""厂址"":""湖南省桂阳县芙蓉食品工业园""},{""厂家联系方式"":""0735-4460158""},{""配料表"":""鲜猪肉、食盐、五爪辣椒、香油""},{""储藏方法"":""开罐后请冷藏""},{""保质期"":""180""},{""食品添加剂"":""无""},{""品牌"":""子龙郡""},{""系列"":""礼盒""},{""包装方式"":""包装""},{""是否含糖"":""无糖""},{""产地"":""中国大陆""},{""省份"":""湖南省""},{""城市"":""郴州市""},{""净含量"":""1000g""}]}]}",10801,食品保健,,,,{'湖南花肉': '湖南'},湖南花肉,3
153,154,9052464906.0,东北长白山特产川贝母50克川贝母包邮,通化贝母,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""吉林省""},{""城市"":""通化市""},{""品牌"":""其他（食品）""},{""品名"":""贝母""},{""净含量"":""50g""}]}]}",1990101,食品保健,草药,,,,,0
154,155,553000000000.0,新货 农家自产 燕麦米 燕麦仁 东北五谷杂粮 雀麦粒5斤特惠装包邮,哈尔滨燕麦,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""黑龙江省""},{""城市"":""哈尔滨市""},{""净含量"":""2500g""}]}]}",1080202001,食品保健,粮油,,,,,0
155,156,38794110762.0,普洱茶下关沱茶2014年 宝焰紧茶 蘑菇沱 沱茶 盒装 生茶 250g/盒,普洱茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2014年01月01日 至 2014年12月31日""},{""品牌"":""下关 ""},{""系列"":""2014年宝焰牌宝焰紧茶生茶250g/盒 ""},{""包装方式"":""包装 ""},{""包装种类"":""盒装 ""},{""普洱生产工艺"":""熟茶 ""},{""特产品类"":""普洱茶 ""},{""产地"":""中国大陆 ""},{""省份"":""云南省 ""},{""城市"":""大理白族自治州 ""},{""价格段"":""60-99元 ""},{""形状"":""沱茶 ""},{""是否进口"":""国产 ""},{""净含量"":""250g ""},{""生产许可证编号"":""SC11453290112736""},{""厂名"":""云南下关沱茶(集团)股份有限公司""},{""厂址"":""云南省大理市下关镇建设西路13号""},{""厂家联系方式"":""0872-2125090""},{""配料表"":""云南大叶种晒青茶""},{""储藏方法"":""通风、干燥、无异味、清洁的环境下存放""},{""保质期"":""9999999""},{""食品添加剂"":""无""}]}]}",1080501002,食品保健,茶饮,普洱茶 ,,,普洱茶 ,1
156,157,525000000000.0,乐唯 石英石水槽龙头厨房水槽龙头冷热抽拉式水龙头,英石,"{""groupProps"":[{""基本信息"":[{""厨房龙头品牌"":""LEIVI/乐唯 ""},{""型号"":""F7 ""},{""龙头是否旋转"":""可旋转 ""},{""款式"":""单把单孔 ""},{""阀芯类型"":""陶瓷片阀芯 ""},{""颜色分类"":""燕麦色 麻白色 黑色 ""}]}]}",10702,家装家饰,,,,,,0
157,158,546000000000.0,【雨前龙井】2017 龙井茶 100g 形美水甜豆香 绿茶板栗香 绿茶,绍兴绿茶,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""食品工艺"":""炒青绿茶""},{""采摘时间"":""明前""},{""级别"":""特级""},{""产地"":""中国大陆""},{""省份"":""浙江省""},{""城市"":""绍兴市""},{""生长季节"":""春季""},{""茶种类"":""大佛龙井""},{""口感"":""清鲜回甜""},{""价格段"":""100-199元""},{""形状"":""片形""},{""净含量"":""250""}]}]}",1080501006,食品保健,茶饮,,{'龙井茶': ''},,龙井茶,2
158,159,13932006999.0,宁安堡野甘草杏肉无核280g酸甜美味健康无添加剂特价2包起包邮,彭阳杏脯,"{""groupProps"":[{""基本信息"":[{""品牌"":""宁安堡""},{""系列"":""野杏肉""},{""规格"":""280克""},{""产地"":""中国大陆""},{""省份"":""甘肃省""},{""包装方式"":""食用农产品""},{""食品工艺"":""甘草类""},{""是否含糖"":""含糖""},{""特产品类"":""彭阳杏脯""},{""净含量"":""280g""}]}]}",1080102007,食品保健,草药,彭阳杏脯,,,彭阳杏脯,1
159,160,523000000000.0,广西农家【原味非水煮】带壳红皮花生晾晒花生生花生250g,桂林花生,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""广西壮族自治区""},{""城市"":""桂林市""},{""食品口味"":""原味""},{""品牌"":""八桂食坊""},{""系列"":""花生""},{""净含量"":""250g""}]}]}",1080102006,食品保健,粮油,,,,,0
160,161,44781391523.0,2袋包邮 四川特产蜀粹坊火锅底料牛油红汤 350克品原产地调料包,成都牛,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年08月01日 至 2018年08月31日""},{""品牌"":""蜀粹坊 ""},{""系列"":""火锅调料(牛油红汤) ""},{""规格"":""350g ""},{""包装方式"":""包装 ""},{""产地"":""中国大陆 ""},{""省份"":""四川省 ""},{""城市"":""成都市 ""},{""商品条形码"":""6925580700024 ""},{""净含量"":""350g ""},{""生产许可证编号"":""SC10251013200340""},{""厂名"":""成都市川雄食品有限公司""},{""厂址"":""成都市新津县花桥镇银桥街116号""},{""厂家联系方式"":""028-64458275""},{""配料表"":""牛油、辣椒、郫县豆瓣（红辣椒、蚕豆、食用盐、小麦粉）、花椒、油桂、八角、小茴香、香辛料、鸡粉调味料、调味料就、食用盐等""},{""储藏方法"":""阴凉干燥处避免阳光直射""},{""保质期"":""365""},{""食品添加剂"":""详见包装""}]}]}",1080301003,食品保健,,,,{'红汤火锅': '红汤'},红汤火锅,3
161,162,529000000000.0,寮步美味 东莞特产 黄豆酱 传统调味品 拌面酱 蘸酱 黄豆酱600g,广东黄豆,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年11月01日 至 2017年12月26日""},{""生产许可证编号"":""SC12444190002861""},{""厂名"":""东莞市寮步美味副食有限公司""},{""厂址"":""东莞市寮步镇石龙坑岗头村兴富路9号""},{""厂家联系方式"":""15112810592""},{""配料表"":""水、黄豆、食用盐、白砂糖、小麦粉""},{""保质期"":""540""},{""食品添加剂"":""苯甲酸钠""},{""净含量"":""600g""},{""包装方式"":""包装""},{""售卖方式"":""单品""},{""是否为有机食品"":""否""},{""调味料"":""豆酱""},{""产地"":""中国大陆""},{""省份"":""广东省""},{""城市"":""东莞市""},{""套餐份量"":""1人份""},{""套餐周期"":""1周""},{""配送频次"":""1周2次""}]}]}",1080301002,食品保健,,,,,,0
162,163,544000000000.0,湖南长沙现做新鲜泰国榴莲芒果生日蛋糕同城配送千层班戟动物奶油,长沙芒果,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年01月11日 至 2018年01月11日""},{""生产许可证编号"":""QS121402020007""},{""厂名"":""维益烘焙产品(天津)有限公司""},{""厂址"":""天津新技术产业园区武清开发区新兴路3号""},{""厂家联系方式"":""18874728898""},{""配料表"":""牛奶面粉""},{""保质期"":""1""},{""食品添加剂"":""1""},{""品牌"":""other/其他""},{""系列"":""千层""},{""包装方式"":""包装""},{""产地"":""中国大陆""},{""省份"":""湖南省""},{""城市"":""长沙市""},{""蛋糕尺寸"":""10英寸,12英寸,6英寸,8英寸""},{""蛋糕价格"":""101-200元""}]}]}",1080201002,食品保健,,,,,,0
163,164,7655997931.0,2016新花特级桐乡缘缘胎菊王杭白菊花茶清热60克盒装,桐乡杭白菊,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年11月01日 至 2017年11月01日""},{""生产许可证编号"":""SC11433048301073""},{""产品标准号"":""GB/T^18862-2008""},{""厂名"":""桐乡市缘缘食用花卉专业合作社""},{""厂址"":""嘉兴市桐乡市石门镇东市街5号""},{""厂家联系方式"":""13858183727""},{""配料表"":""胎菊花""},{""储藏方法"":""置阴凉干燥处""},{""保质期"":""360""},{""食品添加剂"":""无""},{""净含量"":""60g""},{""包装方式"":""包装""},{""包装种类"":""盒装""},{""茶种类"":""菊花""},{""菊花茶种类"":""胎菊""},{""产地"":""中国大陆""},{""省份"":""浙江省""},{""城市"":""嘉兴市""},{""品牌"":""缘缘""},{""系列"":""菊花""}]}]}",1080501003,食品保健,茶饮,,"{'杭白菊': '', '桐乡杭白菊': '桐乡'}",,,-1
164,165,542000000000.0,油炸烧烤调料500g包邮刷料五香粉孜然粉麻辣粉香辣粉烤鱼烤肉鸡排,商丘鱼,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年07月06日 至 2017年07月06日""},{""生产许可证编号"":""QS411403070311""},{""产品标准号"":""DBS 41/001""},{""厂名"":""柘城县三和圆调味品有限公司""},{""厂址"":""柘城县东城开发区生态园东500米""},{""厂家联系方式"":""15560013529""},{""配料表"":""孜然，八角，桂皮，蒜粉，姜粉，葱粉，小茴香，白胡椒，""},{""储藏方法"":""密封存于阴，凉干燥处""},{""保质期"":""360""},{""食品添加剂"":""谷氨酸钠，5*-呈味核甘酸二钠""},{""包装方式"":""散装""},{""售卖方式"":""单品""},{""净含量"":""500g""},{""产地"":""中国大陆""},{""省份"":""河南省""},{""城市"":""商丘市""},{""套餐份量"":""5人份""},{""套餐周期"":""1周""},{""配送频次"":""1周2次""}]}]}",1080301003,食品保健,,,,{'麻辣烤鱼': '麻辣'},麻辣烤鱼,3
165,166,553000000000.0,记忆码头重庆老火锅底料500g手工牛油火锅底料四川麻辣老火锅底料,重庆牛,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年03月01日 至 2018年03月02日""},{""生产许可证编号"":""SC10350010908635""},{""厂名"":""重庆燕莎食品有限公司""},{""厂址"":""重庆市北碚区澄江镇民权村老房子组""},{""厂家联系方式"":""15723265418""},{""配料表"":"" 牛油、豆瓣酱、辣椒等""},{""保质期"":""540""},{""食品添加剂"":""见包装""},{""包装方式"":""包装""},{""售卖方式"":""单品""},{""是否为有机食品"":""否""},{""调味料"":""火锅底料""},{""产地"":""中国大陆""},{""省份"":""重庆""},{""套餐份量"":""5人份""},{""套餐周期"":""1周""},{""配送频次"":""1周1次""},{""净含量"":""500g""}]}]}",1080301003,食品保健,,,,{'重庆火锅底料': '重庆'},重庆火锅底料,3
166,167,8088947697.0,◆武夷岩茶*大红袍*厂家直销*特级肉桂500克,武夷山市肉桂,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""茶种类"":""肉桂""},{""产地"":""中国大陆""},{""省份"":""福建省""},{""城市"":""武夷山市""},{""净含量"":""500克""}]}]}",1080501001,食品保健,0,,{'武夷岩茶': ''},,武夷岩茶,2
167,168,564000000000.0,四川大凉山特级野生鸡枞菌干货火把鸡枞正品保证凉山蘑菇香菇50克,凉山蘑菇,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""四川省""},{""城市"":""凉山彝族自治州""},{""净含量"":""50g""}]}]}",1080202006,食品保健,蔬菜,,,,,0
168,169,45076392902.0,无籽小鱿鱼干小乌贼干新鲜海兔小墨鱼干小目鱼干一件1斤2件包邮,莆田鱼,"{""groupProps"":[{""基本信息"":[{""品牌"":""林姐干货""},{""产地"":""中国大陆""},{""省份"":""福建省""},{""城市"":""莆田市""},{""食品工艺"":""水产干货""},{""包装方式"":""食用农产品""},{""售卖方式"":""单品""},{""净含量"":""500g""}]}]}",1080201001,食品保健,水产,,,,,0
169,170,567000000000.0,中药材正品新货野生威灵仙根叶段梗铁扫老虎须铁脚粉250克,河北中药材,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""河北省""},{""品牌"":""千草堂""},{""系列"":""精选""},{""规格"":""无添加""},{""净含量"":""500g""}]}]}",1990101,食品保健,草药,,,,,0
170,171,562000000000.0,金龙鱼精炼一级菜籽油1.8L,上海鱼,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年05月29日 至 2017年09月29日""},{""生产许可证编号"":""SC10231011501177""},{""厂名"":""上海嘉里食品工业有限公司""},{""厂址"":""上海市浦东新区高东路118号B区""},{""厂家联系方式"":""18516129989""},{""配料表"":""菜籽油""},{""保质期"":""540""},{""食品添加剂"":""见包装""},{""净含量"":""1800ml""},{""包装方式"":""包装""},{""品牌"":""金龙鱼""},{""系列"":""一级菜籽油""},{""规格"":""1800ml""},{""产地"":""中国大陆""},{""省份"":""上海""}]}]}",1080301004,食品保健,,,,,,0
171,172,39579349921.0,求好鱼皮花生、裹衣花生、鱼皮花生250克、香酥可口满免邮,厦门花生,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年02月07日 至 2017年02月07日""},{""生产许可证编号"":""QS350818010086""},{""产品标准号"":""GB/T22165-2008""},{""厂名"":""厦门市隆滨深食品有限公司永定分公司""},{""厂址"":""永定县高陂镇睦邻村""},{""储藏方法"":""产品更新中""},{""保质期"":""150""},{""品牌"":""求好""},{""产地"":""中国大陆""},{""省份"":""福建省""},{""城市"":""厦门市""},{""花生种类"":""香酥花生""},{""包装方式"":""散装""},{""净含量"":""250g""}]}]}",1080102006,食品保健,坚果,,,,,0
172,173,44986056868.0,插树岭榛蘑150g 东北特产 蘑菇 土特产干货长白山小鸡炖蘑菇香菇,长春天然野菜,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年09月01日 至 2018年09月22日""},{""品牌"":""插树岭 ""},{""系列"":""野生 榛蘑 ""},{""规格"":""150g ""},{""货号"":""00094 ""},{""包装方式"":""包装 ""},{""产地"":""中国大陆 ""},{""省份"":""吉林省 ""},{""城市"":""长春市 ""},{""套餐份量"":""5人份 ""},{""套餐周期"":""2周 ""},{""配送频次"":""1周2次 ""},{""售卖方式"":""单品 ""},{""是否为有机食品"":""否 ""},{""特产品类"":""天然野菜 ""},{""干货种类"":""其他 ""},{""净含量"":""150g ""},{""商品条形码"":""6942417400094 ""},{""生产许可证编号"":""SC11622028112681""},{""产品标准号"":""LY/T2133""},{""厂名"":""蛟河市插树岭土特产品有限公司""},{""厂址"":""吉林省蛟河市河北街道林业新村3期1号楼4号门市""},{""厂家联系方式"":""400 009 7991""},{""配料表"":""野生榛蘑""},{""储藏方法"":""置于阴凉干燥处""},{""保质期"":""730""},{""食品添加剂"":""无""}]}]}",1080202006,食品保健,蔬菜,天然野菜 ,,,天然野菜 ,1
173,174,561000000000.0,喜糖旺旺 旺仔牛奶糖500g散装袋装软糖零食结婚糖果 多省包邮,长沙牛,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年08月01日 至 2017年10月01日""},{""生产许可证编号"":""QS440113010117""},{""厂名"":""广州立旺食品有限公司""},{""厂址"":""广州经济技术开发区永和经济区新元路3号3栋二层""},{""厂家联系方式"":""4008850151""},{""配料表"":""详情见包装""},{""储藏方法"":""至于阴凉干燥处""},{""保质期"":""540""},{""食品添加剂"":""详情见包装""},{""产品"":""喜糖""},{""净含量"":""500g""},{""包装方式"":""包装""},{""包装种类"":""袋装""},{""品牌"":""旺旺""},{""系列"":""旺仔牛奶糖500g""},{""产地"":""中国大陆""},{""省份"":""湖南省""},{""城市"":""长沙市""}]}]}",1080102010,食品保健,,,,,,0
174,175,567000000000.0,日本山本汉方脂流茶快瘦汤流脂排油清肠茶 润肠通畅 袋泡茶养生茶,亳州茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年04月01日 至 2018年04月01日""},{""生产许可证编号"":""SC11434160206494""},{""厂名"":""安徽省润养堂生物科技有限公司""},{""厂址"":""亳州市谯城区谯东镇石轿铺行政村孙庄73号""},{""厂家联系方式"":""400-6858-166""},{""配料表"":""决明子 大麦 玄米 乌龙茶 大豆 普洱 昆布 桑叶 甘草 菊花 绿茶 苦荞""},{""储藏方法"":""干燥冷藏""},{""保质期"":""540""},{""食品添加剂"":""无""},{""净含量"":""150g""},{""包装方式"":""包装""},{""包装种类"":""盒装""},{""茶种类"":""其他/other""},{""产地"":""中国大陆""},{""省份"":""安徽省""},{""城市"":""亳州市""},{""是否含糖"":""无糖""},{""品牌"":""汉庭芳""},{""系列"":""脂流茶""},{""价格段"":""1-59元""},{""适用季节"":""冬季,春季,夏季,秋季""}]}]}",10807,食品保健,茶饮,,,,,0
175,176,12407348984.0,宜兴紫砂壶 本山绿泥【菱花茶碗】70CC 小杯口杯茶盅段泥套壶茶具,宜兴紫砂,"{""groupProps"":[{""基本信息"":[{""泥质"":""本山绿泥""},{""作者"":""省级工艺美术师""},{""容量"":""200cc以下""},{""制作工艺"":""全手工""}]}]}",10602,家居用品,,,{'宜兴紫砂': '宜兴'},,宜兴紫砂,2
176,177,556000000000.0,安龙特产纯藕粉贵州特产安龙藕粉免邮500g安龙纯正藕粉无糖无添加,安龙藕粉,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年06月15日 至 2018年06月15日""},{""生产许可证编号"":""SC10752232810255""},{""厂名"":""贵州省安龙县生态食品有限公司""},{""厂址"":""贵州省安龙县海庄监区十八亩处""},{""厂家联系方式"":""0859-5222248""},{""配料表"":""纯藕粉""},{""储藏方法"":""存放于阴凉干燥处""},{""保质期"":""720""},{""食品添加剂"":""无""},{""品牌"":""雄业（食品）""},{""系列"":""藕粉""},{""粉粉品类"":""纯藕粉""},{""产地"":""中国大陆""},{""省份"":""贵州省""},{""城市"":""黔西南布依族苗族自治州""},{""口味"":""原味""},{""包装方式"":""包装""},{""特产品类"":""安龙藕粉""},{""净含量"":""500g""}]}]}",1080202001,食品保健,,安龙藕粉,,,安龙藕粉,1
177,178,563000000000.0,农家自制正宗土猪腊肠麻辣腊香肠柴火烟薰灌肠500g装湖南湘西特产,湘西腊肠,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年09月13日 至 2018年10月13日""},{""生产许可证编号"":""SC11643317305012""},{""厂名"":""湖南湘西吊角楼特色食品有限公司""},{""厂址"":""湖南省湘西土家族苗族自治州永顺经济开发区猛洞河工业园创业楼4楼（蔬菜制品,肉制品,糕点）;湖南省湘西土家族苗族自治州永顺县灵溪镇大桥街（肉制品）;""},{""厂家联系方式"":""17774325996""},{""配料表"":""猪肉 猪小肠 食用盐 白酒 味精 料酒 食用香料""},{""保质期"":""180""},{""食品添加剂"":""无""},{""产地"":""中国大陆""},{""省份"":""湖南省""},{""城市"":""湘西土家族苗族自治州""},{""包装方式"":""散装""},{""售卖方式"":""单品""},{""套餐份量"":""5人份""},{""配送频次"":""1周2次""},{""净含量"":""500g""}]}]}",1080202004,食品保健,,,,,,0
178,179,545000000000.0,口水娃鱼肉零食小吃1000g 鱼豆腐豆干素肉烤肠小包装休闲零食,江苏豆腐,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年02月10日 至 2017年03月02日""},{""生产许可证编号"":""SC11332058500345""},{""厂名"":""苏州口水娃食品有限公司""},{""厂址"":""江苏省苏州市太仓市双凤镇新湖区建业路6号""},{""厂家联系方式"":""4000817517""},{""保质期"":""180""},{""重量(g)"":""1000""},{""包装方式"":""包装""},{""口味"":""全辣,微辣,混合""},{""豆制品种类"":""其他/other""},{""品牌"":""口水娃""},{""系列"":""鱼肉零食1000g""},{""产地"":""中国大陆""},{""省份"":""江苏省""}]}]}",1080102009,食品保健,,,,,,0
179,180,547000000000.0,红薏仁米450g农家自产红薏米仁薏苡仁米五谷杂粮粥米新货,哈尔滨薏米仁,"{""groupProps"":[{""基本信息"":[{""净含量"":""450g""},{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""黑龙江省""},{""城市"":""哈尔滨市""}]}]}",1080202001,食品保健,粮油,,,,,0
180,181,565000000000.0,新鲜鸭蛋 农家散养鸭蛋 新鲜土鸭蛋生鸭蛋无添加青皮30枚 包邮,荆门鸭蛋,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""湖北省""},{""城市"":""荆门市""},{""枚数"":""30枚""},{""净含量"":""1950g""}]}]}",1080201003,食品保健,,,,,,0
181,182,523000000000.0,潮汕特产 沙茶王 沙茶酱 沙爹酱 火锅蘸料 牛肉丸 酱拌面拌饭,汕头牛肉,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2015年10月06日 至 2015年10月20日""},{""生产许可证编号"":""QS440503070568""},{""厂名"":""汕头市狮山食品有限公司""},{""厂址"":""汕头市濠江区达濠外经工业区第三幢""},{""厂家联系方式"":""13826423986""},{""配料表"":""食用植物油、白砂糖、鱼露、""},{""保质期"":""540""},{""食品添加剂"":""苯甲酸钠""},{""产地"":""中国大陆""},{""省份"":""广东省""},{""城市"":""汕头市""},{""包装方式"":""包装""},{""售卖方式"":""单品""},{""套餐份量"":""5人份""},{""套餐周期"":""6个月""},{""配送频次"":""1周2次""},{""净含量"":""180g""}]}]}",1080301002,食品保健,,,,,,0
182,183,553000000000.0,内蒙古酸奶疙瘩小奶花酸奶凝固奶豆腐儿童棒棒奶酪营养健康牛奶酥,内蒙古奶酪,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年09月01日 至 2018年10月01日""},{""包装方式"":""包装 ""},{""形状"":""奶酥 ""},{""奶制品种类"":""牛奶奶酪 ""},{""是否含糖"":""含糖 ""},{""产地"":""中国大陆 ""},{""省份"":""内蒙古自治区 ""},{""城市"":""呼和浩特市 ""},{""是否为有机食品"":""否 ""},{""特产品类"":""内蒙古奶酪 ""},{""品牌"":""小奶花 ""},{""系列"":""酸奶凝固了 ""},{""口味"":""酸奶+黄桃 酸奶+草莓 黄桃+草莓 酸奶+酸奶 黄桃+黄桃 草莓+草莓 ""},{""净含量"":""400g ""},{""生产许可证编号"":""SC10615012200303""},{""产品标准号"":""DBS15/002""},{""厂名"":""内蒙古蒙中牧场食品有限公司""},{""厂址"":""呼和浩特市托克托县伍什家镇伍什家村西""},{""厂家联系方式"":""04713820601""},{""储藏方法"":""勿置于阳光直射或者高温潮湿""},{""保质期"":""365""},{""食品添加剂"":""无""}]}]}",1080202003,食品保健,,内蒙古奶酪 ,,,内蒙古奶酪 ,1
183,184,42977702386.0,大埔逢源正品野葛粉/野葛根粉/农家纯天然野葛粉、黄葛粉农家特产,梅州葛根粉,"{""groupProps"":[{""基本信息"":[{""品牌"":""弓州正九堂""},{""系列"":""天然粉粉""},{""粉粉品类"":""野葛粉""},{""产地"":""中国大陆""},{""省份"":""广东省""},{""城市"":""梅州市""},{""粉粉重量"":""其他/other""},{""是否含糖"":""无糖""},{""包装方式"":""食用农产品""},{""净含量"":""400g""}]}]}",1080502001,食品保健,草药,,,,,0
184,185,560000000000.0,【肖氏蜂蜜】清风岭苹果蜜东北农家土蜂蜜野生天然 原蜜500g单瓶,朝阳土蜂蜜,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""品牌"":""清风岭""},{""系列"":""苹果蜜""},{""规格"":""500g""},{""产地"":""中国大陆""},{""省份"":""辽宁省""},{""城市"":""朝阳市""},{""净含量"":""500g""}]}]}",1080601002,食品保健,草药,,,,,0
185,186,564000000000.0,新鲜野生鲑鱼刺身即食海鲜生鱼片日式料理当天现杀中段500g送料,连云港鱼,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""生鲜储存温度"":""-18℃""},{""食品工艺"":""冷冻水产""},{""产地"":""中国大陆""},{""省份"":""江苏省""},{""城市"":""连云港市""},{""净含量"":""500g""}]}]}",1080201001,食品保健,水产,,,,,0
186,187,560000000000.0,云南魔芋粉代餐粉含淀粉非魔芋粉饱腹260克/袋,楚雄魔芋,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年10月01日 至 2017年10月09日""},{""品牌"":""ZL/蒸绿 ""},{""系列"":""魔芋粉袋装 ""},{""包装方式"":""包装 ""},{""粉粉重量"":""半月量 ""},{""产地"":""中国大陆 ""},{""省份"":""云南省 ""},{""城市"":""楚雄彝族自治州 ""},{""粉粉品类"":""魔芋粉 ""},{""套餐份量"":""1人 ""},{""套餐周期"":""1周 ""},{""配送频次"":""1周2次 ""},{""净含量"":""260g ""},{""生产许可证编号"":""SC10753232631100""},{""厂名"":""大姚御春农食品有限公司""},{""厂址"":""云南省楚雄州大姚县南山坝工业园区（金碧镇马屯村委会）""},{""厂家联系方式"":""15887248724""},{""配料表"":""魔芋粉""},{""储藏方法"":""避光干燥处存放""},{""保质期"":""540""}]}]}",1080502001,食品保健,蔬菜,,,,,0
187,188,534000000000.0,广西古法手工老红糖  纯甘蔗土红糖黑糖 月子红糖 250g,南宁红糖,"{""groupProps"":[{""基本信息"":[{""净含量"":""250g""},{""包装方式"":""食用农产品""},{""品牌"":""other/其他""},{""产地"":""中国大陆""},{""省份"":""广西壮族自治区""},{""城市"":""南宁市""}]}]}",1080501003,食品保健,,,,,,0
188,189,560000000000.0,【新宝堂】新会陈皮 2017年新鲜柑皮 青皮 新会陈皮50g,新会陈皮,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年05月01日 至 2018年06月20日""},{""品牌"":""岭南新宝堂 ""},{""系列"":""2017年青皮 ""},{""包装方式"":""散装 ""},{""产地"":""中国大陆 ""},{""省份"":""广东省 ""},{""城市"":""江门市 ""},{""净含量"":""50g ""},{""生产许可证编号"":""SC11444070501150""},{""厂名"":""江门市新会区新宝堂陈皮柑普茶业有限公司""},{""厂址"":""广东省江门市新会区罗坑镇亨头村亨头小学(土名)""},{""厂家联系方式"":""0750-6197288""},{""配料表"":""新会陈皮""},{""储藏方法"":""请置于阴凉干燥处""},{""保质期"":""365""}]}]}",1080102007,食品保健,草药,,{'新会陈皮': ''},,新会陈皮,2
